Tipo,Aeropuerto,País,Item (EN),Item (ES),Precio,Descripción (EN),Descripción (ES),Notas
EXPO,,Brasil,Collection / Pick-up,Retiro / Recogida,USD 200 ( 1 mascota en jaula grande o 2 chiquitas/medianas) en Sao Paulo y USD 210 en Rio de Janeiro,Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Brasil,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entrega a la aerolínea en el aeropuerto [código aeropuerto],
EXPO,,Brasil,Export Customs Clearance,Despacho aduanero de exportación,"USD 480 hasta 2 mascotas, USD 580 x 3 mascotas.","Includes our charges, our customs agent's charges and MAPA´s fees.","Incluye nuestros cargos, los cargos de nuestro agente de aduanas y los honorarios de MAPA.",
EXPO,,Brasil,Air Freight,Flete aéreo,+ USD 900 retail  + USD 1000 si es agente.,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees
and taxes charged by the airline and by the official offices as well, such as Customs, MAPA.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas y MAPA. 
Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",
EXPO,,Brasil,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,USD 350 siempre,,,
EXPO,,Brasil,Domestic Forwarding,Reenvío doméstico,a cualquier ciudad del interior de Brasil 20% sobre el valor que cotiza Aline,,,
EXPO,,Brasil,Boarding / Lodging,Hospedaje,USD 50 por mascota por día. Si viaja a USA y viene de un traslado doméstico son mínimo 7 días de hospedaje. Si viaja a EU son 5 días.,,,
EXPO,,Mexico,Travel Crate,Jaula de viaje,idem Adriana + USD 10,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",SI ES MAS DE UNA JAULA DEBERA SER PLURAL  : crates meet IATA regluaitons
EXPO,,Mexico,Crate Pre-delivery,Pre-entrega de la jaula,"adri x 1,6","Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
EXPO,,Mexico,RNATT,RNATT,idem Adriana +USD 100,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,el microchip podria sera aparrteo no estar
EXPO,,Mexico,Veterinary Fees,Honorarios veterinarios,"USD200 x 1 mascota, USD 260 x 2 mascotas y USD 340 por 3 mascotas","Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",
EXPO,,Mexico,International Travel Certificate – Americas,Certificado internacional de viaje – América,DESTINO AMERICA  USD180 x 1 mascota USD 260 por 2 mascotas y USD 340 por 3 mascotas,"All legal paperwork issued in SENASICA to enter the pet(s) from Mexico into [destino, ciudad] 
Includes:
 - International health certificate issued by SENASICA","Todo el papeleo legal para ingresar la(s) mascota(s) de Mexico al [destino, ciudad]  incluye:  
- Certificado de salud internacional emitido por SENASICA",
EXPO,,Mexico,International Travel Certificate – Non-Americas,Certificado internacional de viaje – No América,USD320 x 1 mascota USD 380 por 2 mascotas y USD 460 por 3 mascotas,,,
EXPO,,Mexico,EU Transit Certificate,Certificado de tránsito UE,USD 120 por pet,,,
EXPO,,Mexico,Collection / Pick-up,Retiro / Recogida,"USD 250 x 1,6 si entran en una sala camioneta",Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Mexico,Reception from Domestic Flight,Recepción de vuelo doméstico,"adri x 1,6",Our personnel will pick up [cantidad y tipo de mascotas] at MEX Airport and transport to boarding facility in Mexico City.,Nuestro personal recogerá [cantidad y tipo de mascotas] en el Aeropuerto MEX y las transportará a la guardería en la Ciudad de México.,
EXPO,,Mexico,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entrega a la aerolínea en el aeropuerto [código aeropuerto],
EXPO,,Mexico,Export Customs Clearance,Despacho aduanero de exportación,"USD 255 siempre , no importa la cantidad de mascotas es por AWB .","Includes our charges, our customs agent's charges and SENASICA´s fees.","Incluye nuestros cargos, los cargos de nuestro agente de aduanas y los honorarios de SENASICA.",
EXPO,,Mexico,Air Freight,Flete aéreo,+ USD 1000 sobre Adriana,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees
and taxes charged by the airline and by the official offices as well, such as Customs, SENASICA.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas y SENASICA. 
Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",
EXPO,,Mexico,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,USD 350 siempre,,,
EXPO,,Mexico,Domestic Forwarding,Reenvío doméstico,"a cualquier cuidad de Mexico hay que consaultar por Adriana y el costo es Adriana x 1,6",,,
EXPO,,Mexico,Boarding / Lodging,Hospedaje,"USD 80 por mascota por día si es una noche , si es mas de una noce USD 60 por noche .",,,
EXPO,,Chile,Travel Crate,Jaula de viaje,Interfamily  + USD 10,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",SI ES MAS DE UNA JAULA DEBERA SER PLURAL  : crates meet IATA regluaitons
EXPO,,Chile,Crate Pre-delivery,Pre-entrega de la jaula,idem retiro normal,"Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
